 KATL    NBM V5.0 NBP GUIDANCE    9/18/2026  1300 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  74| 94  73| 90  73| 91  72| 88  71| 83  68| 82  65| 82  65| 81  64| 81
 TXNSD   1|  1   1|  2   1|  3   1|  4   2|  6   4|  5   4|  6   5|  6   6|  6
 TXNP1  73| 92  72| 88  71| 89  71| 85  70| 76  63| 74  61| 74  57| 74  58| 74
 TXNP2  73| 93  72| 89  72| 90  71| 87  71| 79  65| 77  62| 77  62| 77  60| 77
 TXNP5  74| 94  73| 90  73| 91  72| 88  72| 85  70| 84  65| 84  64| 82  63| 82
 TXNP7  75| 95  73| 91  73| 93  73| 91  72| 88  71| 86  70| 87  70| 86  70| 86
 TXNP9  76| 96  74| 92  74| 93  74| 92  73| 90  72| 88  71| 89  72| 88  71| 88
 WSPP1   0|  3   4|  0   0|  0   0|  0   4|  3   4|  3   4|  3   4|  2   3|  3
 WSPP2   3|  4   5|  3   0|  3   3|  4   6|  5   6|  5   5|  5   5|  5   5|  4
 WSPP5   4|  5   6|  4   0|  5   5|  7   8|  8   8|  7   7|  7   7|  7   6|  6
 WSPP7   5|  7   6|  6   3|  6   6|  9  10| 11  10|  9   9|  8   9|  8   7|  7
 WSPP9   6|  9   7|  7   4|  8   8| 11  11| 12  12| 11  10| 10  10| 10  10| 10
 W24P1    |  7    |  8    |  7    |  6    |  7    |  9    | 10    | 10    |  9
 W24P2    |  7    | 10    |  8    |  8    |  9    | 11    | 12    | 11    | 11
 W24P5    |  9    | 11    |  9    |  9    | 11    | 14    | 14    | 13    | 13
 W24P7    | 10    | 13    | 11    | 10    | 15    | 18    | 17    | 16    | 16
 W24P9    | 11    | 15    | 12    | 13    | 17    | 21    | 20    | 17    | 18
 G24P1    | 10    | 13    | 11    |  9    | 11    | 15    | 17    | 16    | 15
 G24P2    | 11    | 15    | 12    | 11    | 14    | 19    | 21    | 19    | 17
 G24P5    | 12    | 18    | 15    | 13    | 19    | 25    | 24    | 23    | 22
 G24P7    | 15    | 23    | 17    | 17    | 25    | 31    | 29    | 27    | 27
 G24P9    | 18    | 25    | 19    | 22    | 31    | 37    | 34    | 30    | 32
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      2|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |     20|      0|     16|      9|      0|      0|      0|      0|
 Q24P7    |     65|     10|     35|     31|      4|      0|      0|      0|
 Q24P9    |    149|     32|     64|     66|     34|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 016|013 015|012 014|011 013|012 015|014 016|014 016|014 015|013 014|011
 SLPP2 016|014 016|012 014|012 014|013 016|016 018|016 018|015 017|014 016|014
 SLPP5 017|014 016|013 015|012 015|014 018|017 019|017 019|016 018|016 018|016
 SLPP7 017|015 017|014 016|013 016|016 020|020 021|019 021|018 020|019 021|018
 SLPP9 018|016 017|014 016|014 017|017 021|021 024|022 023|021 023|021 023|021
