 KDAL    NBM V5.0 NBP GUIDANCE    9/17/2026  1900 UTC
    FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  81| 99  79| 99  79| 99  80| 98  78| 95  77| 96  77| 95  77| 94  76| 94
 TXNSD   2|  1   3|  1   2|  2   2|  3   3|  4   4|  4   5|  5   5|  6   6|  6
 TXNP1  78| 98  74| 97  77| 97  78| 91  72| 89  70| 89  70| 87  69| 85  66| 85
 TXNP2  79| 99  77| 98  78| 99  79| 97  77| 93  74| 95  77| 91  77| 89  71| 89
 TXNP5  81| 99  79| 99  79| 99  80| 99  79| 97  79| 97  79| 97  79| 97  78| 97
 TXNP7  82|100  82|100  81|100  82|100  80| 98  80| 98  81| 99  80| 99  80| 99
 TXNP9  83|100  82|100  82|100  83|101  82| 99  81| 99  81| 99  81|100  81|100
 WSPP1   0|  4   3|  6   5|  4   0|  0   0|  1   0|  3   2|  3   0|  4   1|  0
 WSPP2   0|  5   5|  7   6|  5   4|  3   3|  6   4|  6   4|  6   4|  7   4|  4
 WSPP5   0|  7   5|  8   6|  7   5|  5   4|  7   5|  8   5|  8   5|  8   5|  7
 WSPP7   3|  8   6|  9   7|  8   6|  7   7|  8   7|  9   6| 10   7| 10   6|  8
 WSPP9   4|  9   7| 10   8|  9   7|  8   8| 10   8| 10   7| 11   8| 11   7| 10
 W24P1    |  9    | 10    | 11    |  9    |  9    |  9    |  9    |  9    |
 W24P2    | 10    | 11    | 11    |  9    | 10    | 10    | 10    | 10    |
 W24P5    | 11    | 11    | 13    | 10    | 11    | 12    | 12    | 11    |
 W24P7    | 12    | 13    | 14    | 12    | 12    | 13    | 13    | 13    |
 W24P9    | 13    | 15    | 15    | 13    | 14    | 14    | 15    | 15    |
 G24P1    | 14    | 17    | 18    | 14    | 14    | 15    | 14    | 15    |
 G24P2    | 16    | 18    | 19    | 16    | 17    | 17    | 18    | 18    |
 G24P5    | 18    | 20    | 23    | 18    | 19    | 20    | 20    | 20    |
 G24P7    | 21    | 24    | 26    | 22    | 21    | 22    | 23    | 24    |
 G24P9    | 23    | 26    | 27    | 24    | 26    | 25    | 26    | 27    |
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|     21|      0|      0|      0|      0|
 Q24P9    |      0|      0|      3|     57|     15|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 019|014 015|009 012|007 011|008 012|011 014|013 015|013 016|012 014|010
 SLPP2 020|014 015|010 012|008 012|010 014|012 016|014 017|014 017|014 015|011
 SLPP5 020|015 016|010 013|009 012|011 015|013 017|015 018|016 018|015 017|013
 SLPP7 020|016 016|011 013|009 013|012 016|014 018|017 019|017 019|017 018|015
 SLPP9 021|016 017|012 014|010 014|012 016|015 019|018 020|018 020|018 020|016
