 KAUS    NBM V5.0 NBP GUIDANCE    9/17/2026  0700 UTC
        FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  99  73| 99  70| 98  72| 99  73| 99  73| 98  73| 99  73| 98  73| 97  73
 TXNSD   2   1|  2   3|  2   2|  2   2|  4   3|  3   3|  3   3|  3   3|  4   3
 TXNP1  97  71| 97  66| 96  69| 96  70| 95  70| 96  70| 96  70| 96  70| 91  70
 TXNP2  98  72| 98  68| 97  70| 98  72| 98  72| 97  71| 97  71| 98  71| 97  71
 TXNP5  99  73| 99  70| 99  72| 99  74|100  73| 99  73| 99  73| 99  73| 99  73
 TXNP7 100  74|100  73| 99  74|100  75|101  75|100  75|100  75|100  75|100  75
 TXNP9 100  75|100  74|100  75|101  76|102  76|101  77|101  77|101  77|101  77
 WSPP1   6   0|  6   0|  6   0|  5   0|  4   0|  5   0|  5   0|  6   0|  4   0
 WSPP2   8   0|  7   0|  7   0|  6   0|  6   0|  6   0|  7   0|  7   0|  6   0
 WSPP5  10   0|  8   0|  9   0|  7   0|  7   0|  8   0|  9   0|  9   3|  8   2
 WSPP7  12   0|  9   0|  9   3|  9   4|  9   0| 10   2| 10   4| 10   5| 10   5
 WSPP9  13   1| 10   0| 10   4| 10   5| 10   4| 11   5| 12   6| 12   7| 12   8
 W24P1  12    | 10    | 10    | 10    |  9    |  8    | 10    | 10    | 10
 W24P2  13    | 11    | 10    | 11    | 10    | 10    | 11    | 11    | 11
 W24P5  15    | 12    | 12    | 13    | 11    | 12    | 12    | 13    | 12
 W24P7  16    | 13    | 14    | 14    | 13    | 14    | 14    | 15    | 15
 W24P9  18    | 14    | 16    | 17    | 15    | 15    | 16    | 17    | 17
 G24P1  18    | 17    | 16    | 17    | 15    | 14    | 15    | 15    | 15
 G24P2  20    | 18    | 17    | 18    | 17    | 17    | 18    | 18    | 18
 G24P5  23    | 20    | 20    | 20    | 19    | 20    | 20    | 20    | 20
 G24P7  25    | 22    | 24    | 23    | 21    | 23    | 23    | 23    | 25
 G24P9  28    | 24    | 26    | 26    | 24    | 25    | 26    | 27    | 27
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P9       8|      0|      0|      0|     20|     13|     13|     29|     27
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 016 019|013 015|009 012|007 011|008 012|010 014|010 013|011 013|010 013
 SLPP2 017 019|014 015|010 012|008 012|009 013|011 015|012 015|012 015|012 014
 SLPP5 018 020|014 016|010 013|009 013|010 014|012 016|013 017|014 016|013 016
 SLPP7 018 020|015 016|011 014|010 014|011 015|013 017|015 018|015 018|015 017
 SLPP9 019 021|016 017|012 014|010 014|012 016|014 018|016 019|016 019|017 019
