 KMIA    NBM V5.0 NBP GUIDANCE    9/18/2026  0700 UTC
        SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  89  77| 88  76| 89  76| 89  78| 89  77| 88  77| 88  77| 89  77| 88  77
 TXNSD   1   3|  2   2|  2   2|  2   3|  2   2|  3   2|  2   1|  2   2|  3   2
 TXNP1  87  74| 87  73| 86  74| 86  76| 87  75| 83  75| 85  75| 85  75| 85  75
 TXNP2  88  76| 88  74| 88  75| 88  77| 88  76| 87  76| 88  77| 88  76| 87  76
 TXNP5  89  77| 89  76| 89  76| 89  78| 89  77| 89  77| 89  77| 89  77| 89  77
 TXNP7  90  78| 90  77| 90  77| 90  81| 91  79| 90  78| 90  78| 90  78| 90  78
 TXNP9  91  82| 90  78| 91  78| 91  83| 91  79| 91  79| 91  78| 91  78| 91  78
 WSPP1   0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 WSPP2   0   0|  0   0|  0   0|  0   0|  0   0|  0   2|  0   3|  0   3|  0   3
 WSPP5   4   3|  3   1|  3   3|  4   3|  4   4|  5   5|  4   5|  3   4|  5   5
 WSPP7   6   5|  5   4|  5   5|  5   6|  6   6|  7   7|  7   7|  6   7|  8   8
 WSPP9   8   7|  6   7|  7   8|  8   8|  8   8|  9   9|  9  10| 10  11| 10  10
 W24P1   9    |  8    |  8    |  8    |  8    |  9    |  8    |  8    |  8
 W24P2  10    |  9    |  9    | 10    | 10    | 10    | 10    |  9    |  9
 W24P5  12    | 10    | 10    | 12    | 12    | 11    | 11    | 11    | 11
 W24P7  13    | 11    | 12    | 13    | 13    | 14    | 13    | 13    | 15
 W24P9  15    | 13    | 14    | 15    | 15    | 15    | 16    | 16    | 18
 G24P1  15    | 14    | 14    | 15    | 15    | 15    | 15    | 15    | 14
 G24P2  17    | 15    | 16    | 18    | 18    | 17    | 17    | 16    | 16
 G24P5  20    | 17    | 18    | 21    | 21    | 20    | 20    | 19    | 20
 G24P7  23    | 20    | 20    | 23    | 24    | 24    | 24    | 24    | 25
 G24P9  26    | 23    | 24    | 27    | 26    | 27    | 30    | 27    | 32
 Q24P1       3|      0|     21|     13|      2|      3|      0|      0|      0
 Q24P2      13|     10|     42|     33|     29|     15|      8|      5|      9
 Q24P5      46|     40|     68|     68|     70|     55|     30|     36|     47
 Q24P7      93|     98|    111|     97|    107|    127|    111|     88|     97
 Q24P9     133|    141|    171|    133|    148|    247|    230|    187|    202
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 014 012|011 011|010 011|010 012|011 012|012 012|011 010|009 008|007 007
 SLPP2 014 013|012 012|011 012|011 012|012 014|013 013|012 012|011 011|010 010
 SLPP5 014 014|013 013|012 013|012 014|014 015|014 014|013 014|012 012|012 012
 SLPP7 015 014|013 013|012 014|013 014|014 016|015 015|015 015|014 014|013 013
 SLPP9 015 015|014 014|013 014|014 015|015 016|016 016|015 016|015 015|014 014
