 KMIA    NBM V5.0 NBP GUIDANCE    9/17/2026  0700 UTC
        FRI 18| SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  90  79| 90  78| 89  76| 89  76| 89  79| 90  79| 89  77| 89  77| 89  77
 TXNSD   2   2|  1   3|  1   2|  2   2|  2   3|  2   3|  2   1|  3   2|  2   2
 TXNP1  88  77| 88  75| 88  74| 87  74| 87  75| 88  76| 87  75| 85  75| 86  75
 TXNP2  88  77| 89  76| 88  75| 88  75| 88  76| 89  77| 88  76| 88  76| 88  76
 TXNP5  90  79| 90  77| 90  76| 89  77| 90  78| 90  78| 90  77| 89  77| 89  77
 TXNP7  91  81| 91  79| 90  77| 90  78| 90  82| 91  82| 91  78| 90  78| 90  78
 TXNP9  92  82| 91  82| 91  78| 91  78| 91  83| 92  83| 92  79| 91  79| 91  79
 WSPP1   5   3|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 WSPP2   6   4|  0   0|  0   0|  0   0|  0   0|  0   0|  3   3|  3   3|  1   4
 WSPP5   8   5|  4   4|  4   2|  4   3|  4   3|  4   4|  5   5|  5   6|  5   5
 WSPP7   9   7|  5   5|  5   4|  6   5|  6   5|  6   6|  7   8|  7   8|  7   7
 WSPP9  10   8|  7   7|  7   6|  7   8|  7   6|  8   8| 10   9| 10  12| 11  11
 W24P1  13    |  9    |  8    |  8    |  9    |  9    |  8    | 10    |  9
 W24P2  14    | 10    |  9    |  9    | 10    | 10    | 10    | 11    | 10
 W24P5  15    | 11    | 10    | 10    | 11    | 12    | 11    | 12    | 12
 W24P7  16    | 13    | 11    | 12    | 13    | 13    | 14    | 14    | 14
 W24P9  17    | 14    | 12    | 14    | 15    | 15    | 17    | 17    | 18
 G24P1  23    | 16    | 14    | 14    | 15    | 16    | 15    | 17    | 16
 G24P2  24    | 17    | 16    | 16    | 17    | 18    | 17    | 19    | 19
 G24P5  26    | 19    | 17    | 18    | 20    | 21    | 20    | 21    | 22
 G24P7  29    | 23    | 20    | 21    | 23    | 24    | 25    | 26    | 26
 G24P9  31    | 25    | 23    | 24    | 26    | 27    | 31    | 30    | 31
 Q24P1       0|      0|      7|      8|      7|      0|      3|      4|      0
 Q24P2       0|      2|     26|     36|     29|     22|     18|     24|     17
 Q24P5       7|     31|     48|     76|     71|     47|     62|     61|     46
 Q24P7      30|     62|     90|    103|     96|     87|    122|    143|    114
 Q24P9      78|    110|    132|    133|    131|    140|    184|    253|    189
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 015 015|013 012|011 011|010 011|010 012|012 012|011 010|010 010|009 010
 SLPP2 016 016|014 013|012 012|011 012|012 013|013 013|012 012|012 012|011 012
 SLPP5 016 016|014 014|013 013|012 013|012 014|014 015|014 014|013 013|013 013
 SLPP7 017 017|015 014|014 014|013 014|013 015|015 016|015 015|014 014|014 015
 SLPP9 017 017|015 015|014 014|014 015|014 016|016 017|016 016|015 015|015 016
