 KDAL    NBM V5.0 NBP GUIDANCE    9/18/2026  1900 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  79| 99  79| 99  79| 96  77| 93  74| 93  75| 93  75| 92  74| 93  75| 93
 TXNSD   2|  1   2|  1   3|  4   4|  5   5|  5   5|  5   5|  6   6|  6   6|  6
 TXNP1  76| 97  77| 97  74| 90  71| 87  68| 87  67| 87  68| 85  66| 84  66| 84
 TXNP2  78| 98  78| 99  77| 92  75| 90  71| 90  71| 88  70| 88  69| 87  69| 87
 TXNP5  79| 99  79|100  80| 98  78| 93  74| 96  77| 96  77| 91  77| 96  78| 96
 TXNP7  81|100  81|100  81| 99  80| 97  79| 97  79| 98  79| 97  79| 98  79| 98
 TXNP9  82|100  82|101  82|100  81| 99  80| 99  81| 99  81| 98  80| 99  80| 99
 WSPP1   4|  7   5|  2   0|  0   0|  5   4|  5   4|  5   1|  5   0|  4   0|  0
 WSPP2   5|  8   6|  5   0|  3   4|  7   5|  6   5|  7   4|  7   4|  5   4|  4
 WSPP5   6|  9   7|  7   4|  5   6|  8   6|  8   5|  8   5|  8   5|  7   5|  7
 WSPP7   7| 10   8|  8   5|  7   7|  9   8|  9   6|  9   6|  9   6|  8   6|  8
 WSPP9   7| 10   8|  9   7|  8   9| 11   8| 10   8| 10   7| 10   7| 10   8| 10
 W24P1    | 10    | 10    |  9    | 10    |  9    |  9    | 10    |  9    |
 W24P2    | 11    | 11    | 10    | 11    | 10    | 10    | 11    | 10    |
 W24P5    | 12    | 12    | 11    | 12    | 12    | 12    | 11    | 11    |
 W24P7    | 13    | 14    | 13    | 13    | 12    | 13    | 13    | 12    |
 W24P9    | 14    | 15    | 14    | 14    | 13    | 14    | 14    | 14    |
 G24P1    | 18    | 18    | 15    | 16    | 15    | 16    | 15    | 16    |
 G24P2    | 19    | 20    | 17    | 18    | 18    | 17    | 18    | 17    |
 G24P5    | 21    | 22    | 20    | 21    | 20    | 20    | 20    | 19    |
 G24P7    | 24    | 25    | 23    | 24    | 22    | 22    | 22    | 22    |
 G24P9    | 26    | 27    | 25    | 26    | 24    | 24    | 24    | 24    |
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      5|      4|      0|      0|      0|      0|      0|
 Q24P9    |      0|     86|     43|      2|      0|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 015|009 012|007 011|008 013|012 016|014 017|015 017|014 015|011 011|007
 SLPP2 015|010 012|008 012|010 014|012 017|015 018|016 019|015 017|012 014|009
 SLPP5 016|010 012|009 012|010 015|014 018|016 020|017 020|017 018|014 016|012
 SLPP7 016|011 013|009 013|011 016|015 019|018 021|019 021|018 020|017 018|014
 SLPP9 017|012 014|010 014|012 017|016 020|019 022|020 023|020 022|019 020|016
