 KAUS    NBM V5.0 NBP GUIDANCE    9/18/2026  1300 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  72| 99  72|100  74| 99  74| 99  74| 99  74| 98  73| 97  72| 97  72| 97
 TXNSD   3|  2   3|  2   2|  3   3|  3   3|  3   3|  3   4|  4   4|  4   4|  4
 TXNP1  68| 97  69| 97  71| 97  70| 97  71| 97  70| 93  70| 91  65| 90  66| 90
 TXNP2  70| 98  70| 99  73| 98  72| 98  72| 98  72| 97  71| 97  69| 97  71| 97
 TXNP5  73| 99  72|100  74|100  74|100  74| 99  74| 99  73| 99  73| 99  73| 99
 TXNP7  75|100  75|101  76|101  76|101  76|100  76|100  75|100  75|100  75|100
 TXNP9  76|101  76|102  77|102  77|101  78|101  78|101  77|101  76|101  76|101
 WSPP1   0|  6   0|  5   0|  4   0|  5   0|  5   0|  5   0|  5   0|  5   0|  4
 WSPP2   0|  8   0|  6   0|  6   0|  7   0|  7   0|  7   0|  7   0|  6   0|  5
 WSPP5   0|  9   3|  7   0|  7   0|  9   0|  9   3|  9   3|  9   0|  7   1|  7
 WSPP7   0| 10   4|  9   3|  8   1| 10   6| 10   6| 10   5| 10   5|  9   5|  9
 WSPP9   3| 11   6| 10   5| 10   4| 11   9| 12   7| 12   7| 12   8| 11   7| 11
 W24P1    | 11    | 10    | 10    |  9    |  8    | 10    | 10    | 10    |  9
 W24P2    | 12    | 12    | 11    | 10    | 10    | 11    | 12    | 11    | 10
 W24P5    | 13    | 14    | 12    | 11    | 12    | 13    | 13    | 13    | 12
 W24P7    | 15    | 15    | 13    | 13    | 14    | 14    | 15    | 15    | 14
 W24P9    | 16    | 17    | 16    | 15    | 15    | 16    | 16    | 17    | 16
 G24P1    | 18    | 16    | 17    | 16    | 14    | 16    | 15    | 15    | 15
 G24P2    | 20    | 19    | 18    | 17    | 16    | 18    | 18    | 19    | 17
 G24P5    | 22    | 22    | 20    | 19    | 19    | 21    | 21    | 21    | 20
 G24P7    | 24    | 25    | 22    | 22    | 22    | 23    | 24    | 24    | 23
 G24P9    | 26    | 27    | 25    | 25    | 25    | 27    | 28    | 28    | 26
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P9    |      0|     16|     15|     15|      0|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 015|009 012|007 012|008 013|010 014|012 016|013 016|012 015|010 012|007
 SLPP2 016|010 013|008 012|009 014|011 015|013 017|014 017|014 016|012 014|009
 SLPP5 016|010 013|008 013|009 014|012 016|014 018|015 018|015 017|013 016|012
 SLPP7 016|011 014|009 013|010 015|013 017|015 019|016 020|016 019|016 017|013
 SLPP9 017|012 014|010 014|011 016|013 018|017 020|018 021|018 020|017 019|015
