 KMIA    NBM V5.0 NBP GUIDANCE    9/19/2026  1300 UTC
    SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  76| 89  77| 89  77| 89  77| 89  78| 89  77| 89  76| 89  77| 88  75| 88
 TXNSD   1|  2   3|  2   1|  2   1|  3   3|  3   1|  2   2|  3   3|  3   2|  3
 TXNP1  75| 87  74| 86  75| 87  76| 85  75| 85  75| 86  75| 85  73| 85  72| 85
 TXNP2  76| 88  74| 88  76| 88  77| 88  77| 88  76| 88  76| 88  75| 87  73| 87
 TXNP5  76| 90  76| 89  77| 90  78| 90  77| 89  77| 90  77| 90  76| 89  76| 89
 TXNP7  77| 90  79| 90  78| 91  78| 91  80| 91  78| 91  77| 91  79| 90  77| 90
 TXNP9  78| 91  82| 91  78| 91  79| 91  82| 92  78| 92  78| 91  81| 91  78| 91
 WSPP1   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0
 WSPP2   0|  0   0|  0   0|  0   0|  0   2|  0   4|  0   3|  3   4|  0   3|  1
 WSPP5   0|  2   1|  3   2|  4   3|  4   6|  4   6|  5   6|  5   6|  6   6|  5
 WSPP7   4|  5   4|  5   4|  6   5|  6   7|  6   8|  7   8|  7   8|  8   8|  8
 WSPP9   5|  7   7|  6   7|  8   8|  9  10| 10  10| 10  10| 10  11| 10  10| 11
 W24P1    |  8    |  7    |  8    |  8    |  8    |  8    |  8    |  9    |  9
 W24P2    |  9    |  8    |  9    | 10    |  9    |  9    | 10    | 10    | 10
 W24P5    | 10    | 10    | 11    | 11    | 11    | 11    | 11    | 11    | 12
 W24P7    | 11    | 12    | 12    | 13    | 13    | 13    | 14    | 14    | 15
 W24P9    | 12    | 13    | 14    | 15    | 17    | 17    | 17    | 18    | 17
 G24P1    | 14    | 14    | 14    | 14    | 14    | 14    | 14    | 16    | 16
 G24P2    | 15    | 15    | 16    | 17    | 15    | 16    | 17    | 17    | 18
 G24P5    | 18    | 18    | 19    | 20    | 19    | 19    | 20    | 20    | 22
 G24P7    | 20    | 21    | 22    | 23    | 23    | 23    | 24    | 26    | 26
 G24P9    | 21    | 23    | 26    | 27    | 32    | 30    | 32    | 33    | 30
 Q24P1    |     10|     21|      8|      4|      0|      0|      0|      0|
 Q24P2    |     28|     40|     36|     30|     11|      4|      0|      0|
 Q24P5    |     65|     75|     65|     71|     45|     23|     35|     12|
 Q24P7    |    128|    129|    108|    155|     88|     67|     93|     58|
 Q24P9    |    201|    207|    161|    267|    218|    154|    193|    138|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 012|010 011|010 012|012 013|012 011|011 011|010 011|010 010|010 010|008
 SLPP2 013|011 012|011 012|012 014|013 013|012 012|011 012|011 011|011 011|010
 SLPP5 013|012 012|012 013|013 015|014 014|013 013|012 013|012 013|012 012|012
 SLPP7 013|012 013|013 014|014 016|015 015|014 014|013 014|014 014|013 013|013
 SLPP9 014|013 014|013 015|015 016|016 016|015 015|014 015|014 015|014 014|014
