 KHOU    NBM V5.0 NBP GUIDANCE    9/18/2026  1900 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  76| 93  77| 94  78| 95  78| 96  80| 95  79| 93  78| 92  77| 92  76| 92
 TXNSD   2|  2   2|  2   1|  2   2|  3   2|  3   3|  3   4|  4   4|  4   4|  4
 TXNP1  73| 91  75| 92  76| 92  76| 92  77| 92  75| 90  73| 86  71| 86  69| 86
 TXNP2  75| 92  76| 93  77| 93  77| 94  79| 93  78| 92  76| 90  74| 90  74| 90
 TXNP5  76| 93  77| 94  78| 95  79| 96  80| 95  79| 94  79| 93  78| 93  77| 93
 TXNP7  77| 94  78| 95  79| 96  79| 98  81| 97  81| 96  81| 95  79| 95  79| 95
 TXNP9  78| 96  79| 97  80| 97  80| 99  83| 99  82| 97  81| 96  81| 95  80| 95
 WSPP1   0|  7   0|  8   0|  5   0|  3   0|  5   3|  6   3|  6   3|  6   0|  5
 WSPP2   2|  8   0|  8   0|  7   0|  5   3|  7   5|  7   5|  7   5|  7   4|  6
 WSPP5   4|  9   0|  9   0|  7   4|  7   5|  7   7|  8   8|  8   7|  8   6|  9
 WSPP7   6| 10   4| 10   4|  9   5|  8   7|  9   9|  9   9| 10   8| 10   8| 10
 WSPP9   7| 11   5| 11   5| 10   6|  9   9| 10  10| 11  10| 11  10| 11   9| 12
 W24P1    | 11    | 11    | 10    |  9    | 10    | 11    | 11    | 11    |
 W24P2    | 12    | 12    | 10    | 10    | 12    | 13    | 13    | 12    |
 W24P5    | 13    | 14    | 12    | 11    | 13    | 14    | 14    | 14    |
 W24P7    | 14    | 15    | 13    | 12    | 15    | 16    | 15    | 15    |
 W24P9    | 16    | 16    | 14    | 14    | 16    | 17    | 17    | 16    |
 G24P1    | 15    | 16    | 13    | 12    | 14    | 15    | 14    | 15    |
 G24P2    | 17    | 17    | 14    | 14    | 16    | 18    | 19    | 18    |
 G24P5    | 19    | 20    | 17    | 16    | 19    | 21    | 22    | 20    |
 G24P7    | 21    | 22    | 18    | 18    | 22    | 24    | 24    | 24    |
 G24P9    | 23    | 24    | 20    | 20    | 24    | 27    | 26    | 27    |
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P9    |      9|     23|      0|      0|      0|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 015|012 012|009 011|009 012|011 014|013 015|013 015|013 014|011 011|008
 SLPP2 015|012 013|010 012|010 013|011 014|014 016|014 016|014 015|012 013|010
 SLPP5 016|012 013|010 012|011 013|012 015|015 017|016 017|015 016|014 014|012
 SLPP7 016|013 014|011 013|011 014|013 016|016 018|016 018|016 017|015 016|014
 SLPP9 016|014 014|012 013|012 015|014 017|017 019|017 019|018 019|016 017|015
