 KDAL    NBM V5.0 NBP GUIDANCE    9/19/2026  0700 UTC
        SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  99  80| 99  79| 96  76| 92  73| 93  74| 93  75| 93  75| 93  76| 95  76
 TXNSD   1   1|  1   3|  4   4|  4   5|  4   5|  4   6|  5   6|  6   6|  6   6
 TXNP1  97  78| 98  75| 90  70| 86  65| 87  67| 87  67| 86  66| 84  67| 85  67
 TXNP2  98  79| 99  78| 93  74| 89  70| 90  70| 90  71| 89  70| 89  71| 96  71
 TXNP5  99  80|100  79| 97  78| 92  74| 92  75| 92  78| 95  78| 96  78| 97  78
 TXNP7  99  81|100  81| 99  79| 97  78| 97  79| 97  79| 97  79| 98  80| 99  80
 TXNP9 100  81|101  82|100  80| 98  79| 98  81| 98  81| 99  81| 99  81|100  81
 WSPP1   7   6|  4   0|  0   0|  4   3|  5   4|  4   3|  4   3|  0   1|  2   2
 WSPP2   8   6|  5   0|  3   5|  7   5|  6   5|  6   4|  6   4|  5   4|  6   4
 WSPP5   9   7|  7   4|  6   7|  8   6|  8   5|  8   5|  8   5|  7   5|  7   6
 WSPP7   9   8|  8   5|  7   8|  9   7|  9   6|  9   6|  8   6|  8   6|  9   7
 WSPP9  10   9|  9   6|  8   9| 10   8| 10   7|  9   7| 10   7|  9   7| 11  10
 W24P1  10    | 11    |  9    |  9    |  9    |  9    |  9    |  9    |  9
 W24P2  11    | 11    | 10    | 10    | 10    | 10    | 10    | 10    | 10
 W24P5  12    | 12    | 11    | 12    | 11    | 11    | 11    | 11    | 12
 W24P7  13    | 14    | 13    | 13    | 12    | 12    | 12    | 12    | 13
 W24P9  14    | 15    | 14    | 15    | 13    | 13    | 13    | 13    | 15
 G24P1  18    | 18    | 15    | 16    | 16    | 15    | 15    | 14    | 15
 G24P2  19    | 20    | 17    | 18    | 17    | 17    | 17    | 17    | 17
 G24P5  21    | 22    | 20    | 20    | 19    | 19    | 19    | 19    | 20
 G24P7  24    | 25    | 23    | 23    | 21    | 21    | 21    | 21    | 23
 G24P9  26    | 28    | 25    | 26    | 24    | 23    | 23    | 23    | 26
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      4|      7|      0|      0|      0|      0|      0|      0
 Q24P9       0|     39|     44|      4|      0|      0|      1|      0|     11
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 010 012|007 012|009 014|013 017|015 017|015 017|014 015|011 012|008 008
 SLPP2 010 012|008 012|010 014|013 018|016 018|016 018|015 017|012 014|010 011
 SLPP5 010 013|009 013|011 016|014 019|017 020|017 019|016 018|015 016|012 014
 SLPP7 011 013|010 013|011 016|015 020|018 020|018 021|018 020|016 018|014 016
 SLPP9 012 014|011 014|012 017|015 020|018 022|019 022|019 022|018 019|016 017
