 KSFO    NBM V5.0 NBP GUIDANCE    9/18/2026  1300 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  59| 74  59| 69  59| 71  59| 74  59| 82  60| 83  61| 77  60| 74  59| 74
 TXNSD   1|  3   1|  3   1|  3   1|  4   2|  5   3|  6   3|  6   3|  6   3|  6
 TXNP1  58| 72  58| 66  57| 67  57| 70  57| 75  57| 75  58| 70  57| 67  56| 67
 TXNP2  58| 73  58| 68  58| 70  58| 72  58| 81  58| 79  59| 74  58| 70  57| 70
 TXNP5  59| 74  59| 69  59| 71  59| 74  58| 83  61| 83  61| 76  60| 74  58| 74
 TXNP7  59| 75  59| 70  60| 72  59| 77  59| 86  62| 86  63| 82  61| 78  60| 78
 TXNP9  60| 78  60| 73  60| 75  61| 79  61| 87  64| 89  64| 85  64| 82  62| 82
 WSPP1   4| 14   6| 10   4| 11   3| 10   0|  9   0| 10   0| 10   0| 11   2| 11
 WSPP2   5| 15   7| 12   5| 12   4| 11   0| 10   0| 11   3| 11   4| 12   4| 12
 WSPP5   6| 16   8| 14   6| 14   6| 13   3| 12   0| 12   5| 14   6| 15   7| 15
 WSPP7   7| 18   9| 16   8| 15   7| 15   5| 14   4| 14   7| 17   8| 18   9| 20
 WSPP9   8| 19  10| 17   9| 16   7| 17   6| 16   6| 17   9| 20  10| 21  13| 25
 W24P1    | 19    | 19    | 17    | 17    | 15    | 14    | 15    | 15    | 16
 W24P2    | 20    | 19    | 17    | 18    | 17    | 15    | 16    | 17    | 17
 W24P5    | 21    | 21    | 19    | 19    | 18    | 17    | 18    | 19    | 20
 W24P7    | 23    | 22    | 20    | 20    | 20    | 18    | 19    | 22    | 22
 W24P9    | 24    | 23    | 22    | 21    | 22    | 20    | 22    | 24    | 25
 G24P1    | 22    | 21    | 17    | 18    | 15    | 13    | 15    | 15    | 16
 G24P2    | 24    | 22    | 18    | 19    | 17    | 14    | 17    | 17    | 18
 G24P5    | 26    | 24    | 21    | 21    | 19    | 17    | 19    | 21    | 22
 G24P7    | 28    | 27    | 24    | 23    | 22    | 19    | 22    | 26    | 28
 G24P9    | 31    | 29    | 26    | 25    | 26    | 23    | 26    | 35    | 34
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 015|013 012|012 012|010 010|009 009|008 009|009 010|010 010|010 010|009
 SLPP2 016|013 013|012 012|011 011|010 010|010 011|011 012|011 012|011 012|011
 SLPP5 016|013 013|013 013|012 012|011 011|011 012|012 013|013 014|013 013|012
 SLPP7 016|014 014|013 013|013 013|012 012|012 013|013 015|015 015|014 015|014
 SLPP9 017|014 014|014 014|013 013|012 013|012 014|014 016|016 016|016 016|016
