 KAUS    NBM V5.0 NBP GUIDANCE    9/19/2026  0700 UTC
        SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28
 UTC    00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12
 FHR    17  29| 41  53| 65  77| 89 101|113 125|137 149|161 173|185 197|209 221
 TXNMN  99  72|100  73|100  74| 99  74| 99  74| 98  72| 98  72| 97  72| 98  72
 TXNSD   2   2|  2   2|  2   2|  2   3|  3   3|  3   4|  3   4|  4   4|  4   4
 TXNP1  98  70| 98  70| 98  71| 97  71| 97  72| 97  67| 92  66| 91  67| 91  67
 TXNP2  99  70| 99  72| 99  73| 98  72| 98  72| 97  71| 97  70| 97  70| 98  70
 TXNP5  99  72|100  74|100  74| 99  73| 99  74| 99  73| 98  73| 99  73| 99  73
 TXNP7 100  74|101  75|101  75|100  75|100  75|100  75|100  74|100  75|100  75
 TXNP9 101  75|102  76|102  77|101  77|101  77|100  76|100  76|101  76|101  76
 WSPP1   6   0|  4   0|  1   0|  6   0|  6   0|  6   0|  5   0|  4   0|  4   0
 WSPP2   7   0|  5   0|  5   0|  7   0|  7   0|  7   0|  7   0|  6   0|  6   0
 WSPP5   8   3|  7   0|  6   0|  8   3|  9   2|  9   2|  8   0|  7   2|  7   3
 WSPP7  10   4|  8   3|  8   3| 10   7| 10   5| 10   4| 10   4|  9   5|  9   6
 WSPP9  11   5| 11   4|  9   6| 11  10| 11   7| 11   6| 11   5| 11   6| 11   9
 W24P1  10    | 10    |  9    | 10    | 10    | 10    |  9    |  9    |  9
 W24P2  11    | 10    |  9    | 10    | 11    | 11    | 11    | 10    | 10
 W24P5  13    | 12    | 10    | 12    | 12    | 13    | 12    | 12    | 12
 W24P7  15    | 14    | 12    | 13    | 14    | 15    | 14    | 14    | 14
 W24P9  17    | 17    | 15    | 15    | 16    | 16    | 15    | 16    | 16
 G24P1  17    | 16    | 14    | 15    | 15    | 15    | 15    | 14    | 15
 G24P2  19    | 17    | 16    | 17    | 17    | 17    | 18    | 17    | 18
 G24P5  22    | 20    | 17    | 19    | 20    | 21    | 20    | 19    | 20
 G24P7  26    | 23    | 20    | 21    | 23    | 24    | 23    | 23    | 24
 G24P9  27    | 25    | 24    | 25    | 26    | 26    | 24    | 25    | 26
 Q24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 Q24P9       0|      0|     13|     26|      0|      0|      0|      0|      0
 S24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 S24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P1       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P2       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P5       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P7       0|      0|      0|      0|      0|      0|      0|      0|      0
 I24P9       0|      0|      0|      0|      0|      0|      0|      0|      0
 SLPP1 010 012|008 012|008 013|010 015|013 016|013 016|012 015|010 011|007 008
 SLPP2 010 013|008 012|009 014|011 016|014 017|014 017|013 016|012 014|009 011
 SLPP5 011 013|009 013|010 014|012 017|014 018|015 018|014 017|013 015|011 014
 SLPP7 011 014|010 013|010 015|013 018|015 019|016 019|016 019|015 017|013 015
 SLPP9 012 015|010 014|011 016|013 018|016 019|017 020|016 020|016 018|014 016
