 KDAL    NBM V5.0 NBP GUIDANCE    9/19/2026  1300 UTC
    SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  80| 99  79| 97  76| 93  75| 94  76| 94  76| 94  77| 94  77| 95  77| 95
 TXNSD   1|  2   3|  4   4|  4   5|  4   5|  4   5|  5   5|  5   5|  6   5|  6
 TXNP1  78| 98  75| 91  71| 88  66| 88  68| 89  69| 88  70| 86  68| 87  68| 87
 TXNP2  79| 98  78| 96  73| 90  71| 90  72| 91  72| 90  77| 90  77| 96  77| 96
 TXNP5  80| 99  79| 98  78| 93  77| 96  77| 96  78| 96  79| 96  79| 98  79| 98
 TXNP7  81|100  81| 99  79| 97  79| 97  80| 97  80| 98  80| 98  80| 99  80| 99
 TXNP9  81|101  82|100  80| 99  80| 98  81| 98  81| 99  81|100  82|101  81|101
 WSPP1   6|  0   0|  0   3|  5   5|  4   4|  4   3|  4   2|  0   2|  0   3|  1
 WSPP2   7|  5   0|  3   5|  7   6|  6   5|  6   3|  6   4|  5   4|  6   5|  5
 WSPP5   7|  6   4|  5   7|  8   7|  8   5|  8   5|  8   5|  7   5|  7   6|  8
 WSPP7   8|  8   5|  7   8|  9   7|  9   6|  9   6|  9   6|  8   7|  9   8| 10
 WSPP9   9|  9   6|  9   9| 10   8| 10   7|  9   6|  9   7|  9   7| 11  10| 12
 W24P1    | 11    | 11    |  9    |  9    |  9    |  9    |  9    |  9    | 10
 W24P2    | 11    | 11    | 10    | 11    | 10    | 10    | 10    | 10    | 10
 W24P5    | 12    | 13    | 11    | 12    | 11    | 11    | 11    | 11    | 12
 W24P7    | 14    | 14    | 13    | 13    | 12    | 12    | 12    | 12    | 14
 W24P9    | 15    | 15    | 14    | 15    | 13    | 13    | 13    | 13    | 15
 G24P1    | 18    | 19    | 14    | 16    | 15    | 16    | 16    | 15    | 17
 G24P2    | 20    | 20    | 16    | 18    | 17    | 17    | 18    | 17    | 18
 G24P5    | 22    | 23    | 20    | 21    | 19    | 19    | 19    | 19    | 20
 G24P7    | 24    | 26    | 22    | 23    | 21    | 20    | 21    | 22    | 24
 G24P9    | 27    | 27    | 24    | 25    | 24    | 23    | 23    | 23    | 27
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      1|      0|      0|      0|      0|      0|      0|
 Q24P7    |      2|     19|      0|      0|      0|      0|      0|      0|
 Q24P9    |     26|     50|      2|      0|      0|      0|      0|     30|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 012|007 012|010 014|013 016|015 017|014 016|013 015|011 012|008 008|005
 SLPP2 012|008 013|010 015|014 018|016 018|015 017|014 016|013 014|009 011|007
 SLPP5 013|009 013|011 016|014 019|017 019|016 019|016 017|014 015|011 013|010
 SLPP7 013|010 014|012 017|015 020|018 021|018 020|017 019|015 017|013 015|012
 SLPP9 014|011 014|012 017|016 021|018 022|019 021|018 020|018 019|016 018|014
