 KAUS    NBM V5.0 NBP GUIDANCE    9/19/2026  1300 UTC
    SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27| MON 28|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191|203 215|227
 TXNMN  72|100  73|100  74| 99  75| 99  74| 99  73| 98  73| 98  72| 98  73| 98
 TXNSD   2|  2   2|  1   2|  2   3|  2   3|  3   4|  3   4|  3   4|  4   4|  4
 TXNP1  70| 98  70| 98  71| 97  72| 97  72| 97  69| 92  67| 95  68| 92  68| 92
 TXNP2  71| 99  72| 99  72| 99  73| 99  73| 98  71| 98  71| 98  71| 98  72| 98
 TXNP5  72|100  73|100  74|100  75|100  75| 99  73| 99  73| 99  73| 99  73| 99
 TXNP7  74|101  75|101  75|101  77|100  76|100  76|100  75|100  75|100  75|100
 TXNP9  75|101  77|102  77|101  78|101  77|101  77|101  76|101  76|101  77|101
 WSPP1   0|  4   0|  4   0|  5   0|  6   0|  6   0|  6   0|  4   0|  4   0|  3
 WSPP2   0|  5   0|  5   0|  7   0|  7   0|  8   0|  7   0|  6   0|  5   0|  5
 WSPP5   3|  7   0|  6   0|  8   3|  9   3|  9   1|  9   0|  7   2|  7   4|  7
 WSPP7   4|  8   3|  8   3| 10   6| 10   5| 11   4| 10   3|  9   4|  9   7|  9
 WSPP9   5| 10   4|  9   4| 12  10| 12   7| 11   6| 11   5| 10   6| 11  10| 11
 W24P1    | 10    |  9    |  9    |  9    | 10    | 10    | 10    |  9    |  9
 W24P2    | 12    | 10    |  9    | 10    | 11    | 11    | 11    | 10    | 11
 W24P5    | 14    | 12    | 10    | 12    | 13    | 13    | 12    | 12    | 13
 W24P7    | 16    | 14    | 12    | 13    | 15    | 15    | 14    | 14    | 15
 W24P9    | 17    | 16    | 14    | 15    | 16    | 16    | 16    | 15    | 17
 G24P1    | 17    | 15    | 14    | 14    | 14    | 15    | 15    | 16    | 15
 G24P2    | 20    | 17    | 15    | 16    | 18    | 18    | 17    | 18    | 18
 G24P5    | 23    | 20    | 17    | 19    | 21    | 21    | 21    | 20    | 21
 G24P7    | 25    | 23    | 21    | 21    | 24    | 24    | 24    | 23    | 24
 G24P9    | 27    | 25    | 23    | 24    | 27    | 26    | 26    | 24    | 27
 Q24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 Q24P9    |      0|     36|      1|      0|      0|      0|      0|     18|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 013|008 012|008 013|010 015|012 016|012 015|012 014|010 013|008 009|005
 SLPP2 013|008 013|009 014|011 016|014 016|013 016|012 016|011 014|009 011|007
 SLPP5 014|009 013|010 015|012 017|014 018|014 017|013 016|013 015|010 013|009
 SLPP7 014|009 014|010 015|012 018|015 018|015 018|015 018|014 016|012 015|011
 SLPP9 014|010 014|011 016|013 018|016 019|016 019|016 019|016 017|014 016|012
