 KMIA    NBM V5.0 NBP GUIDANCE    9/18/2026  1900 UTC
    SAT 19| SUN 20| MON 21| TUE 22| WED 23| THU 24| FRI 25| SAT 26| SUN 27|
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185|197 209|221
 TXNMN  78| 89  76| 89  76| 89  77| 90  79| 90  77| 89  77| 89  77| 89  76| 89
 TXNSD   3|  1   1|  2   2|  2   1|  2   3|  2   1|  3   1|  2   1|  3   2|  3
 TXNP1  74| 88  74| 87  74| 87  75| 87  76| 87  75| 85  75| 86  75| 85  73| 85
 TXNP2  76| 88  75| 88  75| 88  76| 88  77| 89  76| 88  76| 88  76| 88  75| 88
 TXNP5  77| 89  76| 89  76| 90  77| 90  78| 90  77| 90  77| 90  77| 90  76| 90
 TXNP7  79| 90  77| 90  77| 90  78| 91  81| 91  78| 91  78| 91  77| 90  77| 90
 TXNP9  83| 91  78| 91  78| 91  78| 92  83| 92  79| 92  79| 92  78| 91  78| 91
 WSPP1   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0
 WSPP2   0|  0   0|  0   0|  0   0|  0   0|  0   3|  0   2|  0   3|  0   4|  3
 WSPP5   4|  3   0|  2   0|  4   3|  4   3|  4   5|  4   5|  3   5|  5   6|  6
 WSPP7   5|  5   4|  5   4|  6   5|  6   6|  6   6|  6   6|  6   7|  7   8|  8
 WSPP9   7|  6   6|  7   6|  8   7|  7   8|  7   8|  7   7|  7   9|  9  10| 10
 W24P1    |  8    |  8    |  8    |  8    |  8    |  8    |  8    |  8    |
 W24P2    |  9    |  9    | 10    | 10    |  9    |  9    |  9    | 10    |
 W24P5    | 10    | 10    | 11    | 11    | 11    | 11    | 10    | 12    |
 W24P7    | 11    | 12    | 14    | 14    | 12    | 13    | 12    | 14    |
 W24P9    | 13    | 13    | 16    | 15    | 14    | 14    | 14    | 16    |
 G24P1    | 14    | 14    | 15    | 14    | 13    | 15    | 14    | 15    |
 G24P2    | 16    | 16    | 17    | 17    | 16    | 16    | 16    | 17    |
 G24P5    | 18    | 18    | 21    | 20    | 19    | 19    | 18    | 20    |
 G24P7    | 20    | 21    | 24    | 24    | 21    | 23    | 21    | 24    |
 G24P9    | 23    | 23    | 28    | 27    | 25    | 26    | 25    | 28    |
 Q24P1    |      0|     27|     14|      8|      3|      2|      0|      0|
 Q24P2    |     20|     34|     36|     33|     21|     12|      5|      9|
 Q24P5    |     50|     66|     61|     79|     52|     42|     33|     47|
 Q24P7    |     77|    103|     88|    104|     88|     83|     79|    105|
 Q24P9    |     98|    174|    123|    161|    155|    184|    121|    168|
 S24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 S24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P1    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P2    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P5    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P7    |      0|      0|      0|      0|      0|      0|      0|      0|
 I24P9    |      0|      0|      0|      0|      0|      0|      0|      0|
 SLPP1 013|012 012|010 011|010 011|011 012|011 011|009 010|010 010|009 008|007
 SLPP2 014|012 012|011 012|011 012|012 014|013 013|012 012|012 012|011 011|010
 SLPP5 014|013 013|012 012|012 013|013 015|014 014|014 013|013 013|012 012|011
 SLPP7 014|014 014|012 013|012 014|014 016|015 015|014 014|014 014|013 013|012
 SLPP9 015|014 014|013 014|013 015|015 016|016 016|015 015|014 014|014 014|013
